,taxon,back_red,bell_red,brea_red,crow_red,rump_red,tail_red,thro_red,back_bright,bell_bright,brea_bright,crow_bright,rump_bright,tail_bright,thro_bright,bio1,bio12,scaled_temp,scaled_precip,Habitat
Acrob_fonse_xxx,Acrob_fonse_xxx,0.017448325,0.044083279,0.051502165,0.00456707,0.026182808,0.016022641,0.049375201,0.321266658,0.453084182,0.427040344,0.131260097,0.371985768,0.238679491,0.485271216,20.2,1261,0.279750302,-0.318430599,Intermediate
Anabc_licht_xxx,Anabc_licht_xxx,0.031184351,0.084660864,0.103511757,0.020617321,0.043765219,0.049236391,0.134120176,0.273207408,0.417557827,0.425692936,0.261999301,0.311401509,0.352441363,0.576892006,20.5,1679,0.327129635,0.195288427,Forest
Anabc_rufic_xxx,Anabc_rufic_xxx,0.017510399,0.054434937,0.071795756,0.015464254,0.029359393,0.051810705,0.057718181,0.272870562,0.474712253,0.53610856,0.250769326,0.314894326,0.349284627,0.494095477,24.9,2352,1.022026513,1.022400637,Forest
Anabc_stria_xxx,Anabc_stria_xxx,0.028605286,0.046364675,0.046710854,0.01645606,0.03178946,0.042155444,0.044578232,0.267071292,0.345904757,0.351474412,0.228013825,0.264393856,0.335025533,0.369480667,19.2,1619.5,0.121819193,0.12216335,Forest
Anabc_varie_xxx,Anabc_varie_xxx,0.02518536,0.04976997,0.05783166,0.014250343,0.03027892,0.036325021,0.052511204,0.256617495,0.35844502,0.389039461,0.230211584,0.265164065,0.314908694,0.433893989,19.25,2443.5,0.129715749,1.134853486,Forest
Anabz_dorsa_xxx,Anabz_dorsa_xxx,0.024070225,0.054990702,0.086104535,0.021441704,0.027785447,0.031361764,0.08839578,0.251175073,0.507192051,0.607504912,0.210168879,0.253080408,0.288315789,0.656362023,24.3,2909,0.927267848,1.706949674,Forest
Anabz_fuscu_xxx,Anabz_fuscu_xxx,0.026981987,0.059418481,0.093446602,0.020189191,0.033050838,0.048631515,0.099701632,0.242379785,0.40996967,0.523085092,0.204852912,0.253261178,0.326315609,0.745719392,18,1571,-0.067698137,0.062557195,Forest
Ancis_strig_xxx,Ancis_strig_xxx,0.020715623,0.081853783,0.083754679,0.019070235,0.030125823,0.049211187,0.068848408,0.270392332,0.561698171,0.538556837,0.245629749,0.305471358,0.327235123,0.459065041,25.3,2519.5,1.085198957,1.228256946,Intermediate
Anumb_annum_xxx,Anumb_annum_xxx,0.032675725,0.099075405,0.083527487,0.026021098,0.045577953,0.025330885,0.072122574,0.303892935,0.532931921,0.478237992,0.255628912,0.32104452,0.312788804,0.426923653,17.7,1125,-0.11507747,-0.485573631,Nonforest
Aphra_spini_xxx,Aphra_spini_xxx,0.017933564,0.068647439,0.063257009,0.005475661,0.040853766,0.032287389,0.062200884,0.257669003,0.544513427,0.616858142,0.188821697,0.303633169,0.304759186,0.614118668,10.6,1066.5,-1.236388342,-0.557469715,Forest
