,bio1,bio12,dors.PC1,vent.PC1,Habitat,scaled_precip,scaled_temp,taxon
Cincl_tacza_xxx,19.45,15.5,-0.0023,-0.0988,Nonforest,-1.8409,0.1555,Cincl_tacza_xxx
Geosi_peruv_xxx,19.4,17,0.2774,0.4806,Nonforest,-1.8391,0.1476,Geosi_peruv_xxx
Geosi_marit_xxx,16.6,30,0.1665,0.3023,Nonforest,-1.8231,-0.2933,Geosi_marit_xxx
Geosi_crass_xxx,18.65,46.5,0.1736,0.328,Nonforest,-1.8029,0.0295,Geosi_crass_xxx
Pseua_cacto_xxx,18.5,52,0.1187,0.0576,Nonforest,-1.7962,0.0059,Pseua_cacto_xxx
Synal_stict_sti,23.8,149,0.1029,0.3246,Nonforest,-1.6775,0.8404,Synal_stict_sti
Ochet_rufic_xxx,8,160,0.0491,0.2046,Nonforest,-1.664,-1.6474,Ochet_rufic_xxx
Lepta_stria_xxx,10.1,192.5,0.0832,0.0278,Nonforest,-1.6242,-1.3167,Lepta_stria_xxx
Pseus_guttu_xxx,13.5,199.5,0.0582,-0.0958,Nonforest,-1.6156,-0.7814,Pseus_guttu_xxx
Upuce_albig_xxx,8.5,202.5,0.0505,0.201,Nonforest,-1.612,-1.5687,Upuce_albig_xxx
Ochet_phoen_xxx,7.85,228.5,0.0188,0.0758,Nonforest,-1.5801,-1.671,Ochet_phoen_xxx
Upuce_valid_xxx,10.2,242,0.0218,0.1095,Nonforest,-1.5636,-1.301,Upuce_valid_xxx
Synal_zimme_xxx,14.1,258.5,0.0121,-0.0937,Nonforest,-1.5434,-0.6869,Synal_zimme_xxx
Asthe_pudib_xxx,8.9,296,-0.0596,-0.03,Nonforest,-1.4975,-1.5057,Asthe_pudib_xxx
Geosi_antar_xxx,6.45,322.5,0.1568,0.1979,Nonforest,-1.465,-1.8915,Geosi_antar_xxx
Cincl_nigro_xxx,16.2,345,-0.0777,-0.2151,Nonforest,-1.4375,-0.3563,Cincl_nigro_xxx
Asthe_modes_xxx,6.05,372,0.0319,0.0659,Nonforest,-1.4044,-1.9544,Asthe_modes_xxx
Upuce_dumet_xxx,7.7,397,0.0915,0.222,Nonforest,-1.3738,-1.6946,Upuce_dumet_xxx
Asthe_dorbi_are,11.45,400,0.0766,0.1662,Nonforest,-1.3702,-1.1042,Asthe_dorbi_are
Asthe_antho_xxx,6.7,435.5,-0.0325,0.0694,Nonforest,-1.3267,-1.8521,Asthe_antho_xxx
Pseua_humic_xxx,14.3,454,0.0141,0.0676,Nonforest,-1.3041,-0.6554,Pseua_humic_xxx
Geosi_rufip_xxx,7.7,479,0.1759,0.284,Nonforest,-1.2735,-1.6946,Geosi_rufip_xxx
Geosi_isabe_xxx,4.4,483,0.2232,0.1339,Nonforest,-1.2686,-2.2142,Geosi_isabe_xxx
Asthe_pyrrh_xxx,8.8,494,-0.0163,0.0192,Nonforest,-1.2551,-1.5214,Asthe_pyrrh_xxx
Ochet_melan_xxx,9.8,500,-0.0179,0.1263,Nonforest,-1.2477,-1.364,Ochet_melan_xxx
Geosi_cunic_cun,8.9,504,0.1399,0.2717,Nonforest,-1.2429,-1.5057,Geosi_cunic_cun
Cincl_ousta_xxx,10,516,-0.0547,0.009,Nonforest,-1.2282,-1.3325,Cincl_ousta_xxx
Upuce_satur_xxx,14.2,533,0.004,0.0922,Nonforest,-1.2073,-0.6712,Upuce_satur_xxx
Cincl_antar_xxx,5.65,533.5,-0.0532,-0.2609,Nonforest,-1.2067,-2.0174,Cincl_antar_xxx
Cincl_fuscu_xxx,11.25,543,0.0099,0.1884,Nonforest,-1.1951,-1.1357,Cincl_fuscu_xxx
Phace_macul_xxx,15.15,572,-0.0245,0.0678,Nonforest,-1.1596,-0.5216,Phace_macul_xxx
Tarph_certh_xxx,17.7,580,-0.0049,0.112,Nonforest,-1.1498,-0.1201,Tarph_certh_xxx
Ochet_andae_xxx,11.5,597.5,0.0267,0.2521,Nonforest,-1.1284,-1.0963,Ochet_andae_xxx
Lepta_fulig_xxx,12.5,602,0.0552,0.0006,Nonforest,-1.1229,-0.9388,Lepta_fulig_xxx
Phace_strie_xxx,10.35,611,-0.0284,0.1689,Nonforest,-1.1119,-1.2774,Phace_strie_xxx
Cincl_ataca_xxx,7.3,627,-0.0059,0.1102,Nonforest,-1.0923,-1.7576,Cincl_ataca_xxx
Cliba_eryth_ery,23.6,633,0.0181,0.0016,Intermediate,-1.0849,0.8089,Cliba_eryth_ery
Cincl_comec_xxx,14.8,652,0.0449,0.2784,Nonforest,-1.0617,-0.5767,Cincl_comec_xxx
Asthe_sclat_xxx,8.4,655.5,-0.0034,0.0088,Nonforest,-1.0574,-1.5844,Asthe_sclat_xxx
Asthe_macul_xxx,8.8,686,-0.087,-0.01,Nonforest,-1.02,-1.5214,Asthe_macul_xxx
Phace_dorsa_xxx,16.7,711,0.0309,0.1797,Nonforest,-0.9894,-0.2775,Phace_dorsa_xxx
Lepta_yanac_xxx,8.3,711,-0.0154,-0.06,Forest,-0.9894,-1.6002,Lepta_yanac_xxx
Lepta_pilea_xxx,7.9,729,0.0538,0.0156,Nonforest,-0.9674,-1.6631,Lepta_pilea_xxx
Synal_hypoc_xxx,14.4,737,0.0333,0.3343,Intermediate,-0.9576,-0.6397,Synal_hypoc_xxx
Furna_crist_xxx,22.8,738.5,0.1385,0.3722,Nonforest,-0.9558,0.683,Furna_crist_xxx
Geoce_serra_xxx,6.8,746,-0.0089,0.0145,Nonforest,-0.9466,-1.8363,Geoce_serra_xxx
Asthe_otton_xxx,10.45,749,-0.0059,0.075,Nonforest,-0.9429,-1.2616,Asthe_otton_xxx
Crani_marca_mar,11.25,756,-0.0069,0.0521,Forest,-0.9343,-1.1357,Crani_marca_mar
Lepta_xenot_xxx,7.4,756,-0.0482,-0.0866,Forest,-0.9343,-1.7419,Lepta_xenot_xxx
Geosi_tenui_xxx,6.2,769.5,0.1034,0.2178,Nonforest,-0.9178,-1.9308,Geosi_tenui_xxx
Crani_pyrrh_str,18.45,770.5,0.0687,0.346,Forest,-0.9166,-0.002,Crani_pyrrh_str
Crani_albia_xxx,10.7,776,0.1393,0.1698,Nonforest,-0.9099,-1.2223,Crani_albia_xxx
Synal_hellm_xxx,22.8,783.5,0.0324,-0.2328,Intermediate,-0.9007,0.683,Synal_hellm_xxx
Asthe_baeri_xxx,19.65,786.5,0.0309,0.219,Nonforest,-0.897,0.187,Asthe_baeri_xxx
Phace_sibil_xxx,20.9,787,0.0506,0.2322,Intermediate,-0.8964,0.3838,Phace_sibil_xxx
Cincl_albiv_xxx,6.1,790,0.0178,0.2863,Nonforest,-0.8927,-1.9466,Cincl_albiv_xxx
Crani_antis_xxx,16.3,803,0.0282,0.1608,Intermediate,-0.8768,-0.3405,Crani_antis_xxx
Coryp_alaud_xxx,22.2,805,0.1323,0.1253,Nonforest,-0.8744,0.5885,Coryp_alaud_xxx
Synal_cours_xxx,10.6,809,0.0051,-0.1831,Forest,-0.8695,-1.238,Synal_cours_xxx
Synal_tithy_xxx,23.8,826,-0.0717,-0.1282,Intermediate,-0.8486,0.8404,Synal_tithy_xxx
Asthe_wyati_xxx,6.6,826,-0.0717,-0.0652,Nonforest,-0.8486,-1.8678,Asthe_wyati_xxx
Asthe_humil_xxx,3.95,828,-0.017,-0.0026,Nonforest,-0.8462,-2.2851,Asthe_humil_xxx
Asthe_coryi_xxx,8.05,846.5,-0.0549,-0.1135,Nonforest,-0.8236,-1.6395,Asthe_coryi_xxx
Synal_cande_xxx,27.3,852.5,0.0889,0.1482,Intermediate,-0.8162,1.3915,Synal_cande_xxx
Megax_parna_xxx,22.55,860,0.0771,0.1555,Intermediate,-0.807,0.6436,Megax_parna_xxx
Pseus_lopho_xxx,18.25,862,0.1033,-0.0241,Intermediate,-0.8046,-0.0335,Pseus_lopho_xxx
Synal_subpu_xxx,13.5,873,0.0011,-0.0179,Intermediate,-0.7911,-0.7814,Synal_subpu_xxx
Asthe_heter_xxx,10.1,875,-0.0079,0.0447,Nonforest,-0.7887,-1.3167,Asthe_heter_xxx
Asthe_berle_xxx,15.8,883,-0.0194,0.2735,Nonforest,-0.7789,-0.4192,Asthe_berle_xxx
Lepta_andic_xxx,6.2,883,-0.0078,-0.0621,Nonforest,-0.7789,-1.9308,Lepta_andic_xxx
Synda_rufic_xxx,19.35,910.5,-0.0469,-0.1303,Forest,-0.7452,0.1397,Synda_rufic_xxx
Asthe_virga_xxx,6.8,913,-0.0534,-0.0171,Nonforest,-0.7421,-1.8363,Asthe_virga_xxx
Pseus_crist_xxx,24.5,921,0.0803,-0.112,Intermediate,-0.7323,0.9506,Pseus_crist_xxx
Asthe_palpe_xxx,10.9,923.5,-0.0703,-0.0495,Nonforest,-0.7293,-1.1908,Asthe_palpe_xxx
Asthe_hudso_xxx,15.4,934,0.0577,0.0765,Nonforest,-0.7164,-0.4822,Asthe_hudso_xxx
Drymo_bridg_xxx,18.85,941.5,0.0662,0.125,Intermediate,-0.7072,0.061,Drymo_bridg_xxx
Synal_front_xxx,20.65,949,0.0231,-0.0133,Intermediate,-0.6981,0.3444,Synal_front_xxx
Asthe_harte_xxx,14.95,949,0.0044,-0.0612,Nonforest,-0.6981,-0.5531,Asthe_harte_xxx
Xiphc_falci_xxx,24.5,959,0.0134,-0.0824,Intermediate,-0.6858,0.9506,Xiphc_falci_xxx
Asthe_flamm_xxx,7.45,967.5,-0.0287,-0.0167,Nonforest,-0.6754,-1.734,Asthe_flamm_xxx
Cincl_palli_xxx,1.7,972,0.0716,0.635,Nonforest,-0.6699,-2.6394,Cincl_palli_xxx
Asthe_vilca_xxx,12,974,-0.0277,-0.0994,Nonforest,-0.6675,-1.0176,Asthe_vilca_xxx
Spart_malur_xxx,16.05,975,-0.0105,0.2914,Nonforest,-0.6662,-0.3799,Spart_malur_xxx
Crani_semic_xxx,21.55,975.5,0.0998,0.0859,Intermediate,-0.6656,0.4861,Crani_semic_xxx
Phace_stria_xxx,16.6,984,0.0283,0.2578,Nonforest,-0.6552,-0.2933,Phace_stria_xxx
Thrie_scrut_xxx,12.55,985.5,-0.0343,-0.1842,Forest,-0.6534,-0.931,Thrie_scrut_xxx
Limno_curvi_xxx,16.5,986,0.033,0.4141,Nonforest,-0.6528,-0.309,Limno_curvi_xxx
Crani_albic_alb,14.3,995.5,0.1103,-0.1603,Intermediate,-0.6411,-0.6554,Crani_albic_alb
Asthe_grise_xxx,12.6,999,-0.0376,-0.0737,Nonforest,-0.6369,-0.9231,Asthe_grise_xxx
Synal_scuta_xxx,20.95,1016,0.0058,0.0845,Intermediate,-0.616,0.3917,Synal_scuta_xxx
Lepid_angus_ang,21.9,1018,0.0855,0.1807,Intermediate,-0.6136,0.5412,Lepid_angus_ang
Cincl_albid_xxx,7.4,1058,-0.0327,0.1192,Nonforest,-0.5646,-1.7419,Cincl_albid_xxx
Crani_subcr_xxx,19.9,1061,0.0454,-0.0467,Intermediate,-0.561,0.2263,Crani_subcr_xxx
Aphra_spini_xxx,10.6,1066.5,-0.0319,0.2647,Forest,-0.5542,-1.238,Aphra_spini_xxx
Limno_recti_xxx,16.6,1089.5,0.1295,0.2024,Nonforest,-0.5261,-0.2933,Limno_recti_xxx
Anumb_annum_xxx,17.7,1125,0.0407,0.0664,Nonforest,-0.4826,-0.1201,Anumb_annum_xxx
Thria_berle_xxx,12.25,1129.5,0.0046,-0.2151,Forest,-0.4771,-0.9782,Thria_berle_xxx
Schoe_phryg_xxx,22.8,1137.5,0.0408,-0.0176,Nonforest,-0.4673,0.683,Schoe_phryg_xxx
Synal_casta_xxx,15.25,1140,0.0704,-0.2535,Forest,-0.4642,-0.5058,Synal_casta_xxx
Thria_macro_xxx,23.8,1155,0.0495,-0.0965,Intermediate,-0.4459,0.8404,Thria_macro_xxx
Marga_squam_xxx,13.8,1165,-0.0417,-0.1169,Forest,-0.4336,-0.7342,Marga_squam_xxx
Lepid_leuco_xxx,17.3,1167.5,0.0495,0.0975,Forest,-0.4306,-0.1831,Lepid_leuco_xxx
Cincl_excel_xxx,5.7,1172,-0.0406,0.0723,Nonforest,-0.4251,-2.0095,Cincl_excel_xxx
Cliba_recti_xxx,22.15,1172,-0.0116,-0.0052,Forest,-0.4251,0.5806,Cliba_recti_xxx
Cincl_patag_xxx,11.1,1181,-0.054,-0.0667,Nonforest,-0.414,-1.1593,Cincl_patag_xxx
